Ano,Valor (mm),Anomalia (mm)
1981,535.5,-110.8
1982,1161.9,515.6
1983,616.3,-30.0
1984,1154.4,508.1
1985,251.5,-394.8
1986,786.5,140.2
1987,1065.9,419.6
1988,329.2,-317.1
1989,338.2,-308.1
1990,223.5,-422.8
1991,762.9,116.6
1992,1055.1,408.8
1993,489.4,-156.9
1994,460.2,-186.1
1995,462.8,-183.5
1996,395.2,-251.1
1997,1182.8,536.5
1998,122.8,-523.5
1999,502.9,-143.4
2000,842.6,196.3
2001,629.9,-16.4
2002,1129.5,483.2
2003,358.2,-288.1
2004,563.8,-82.5
2005,520.2,-126.1
2006,609.5,-36.8
2007,196.3,-450.0
2008,671.2,24.9
2009,432.5,-213.8
2010,336.3,-310.0
2011,333.7,-312.6
2012,474.4,-171.9
2013,362.2,-284.1
2014,396.3,-250.0
2015,502.0,-144.3
2016,380.0,-266.3
2017,584.9,-61.4
2018,250.1,-396.2
2019,106.0,-540.3
2020,387.1,-259.2
